age,workclass,education,'marital status',race,sex,'Native Region',result
32,' Private',' College',' Married',' White',' Female',' US and Canada',' <=50K'
35,' Private',' College',' Seperated or Widowed',' White',' Male',' US and Canada',' >50K'
50,' Private',' College',' Married',' White',' Male',' US and Canada',' >50K'
20,' Private',' pre-HS',' Never-married',' White',' Male',' Latin / South America',' <=50K'
18,' ?',' pre-HS',' Never-married',' Black',' Male',' US and Canada',' <=50K'
55,' No Income',' pre-HS',' Married',' White',' Male',' US and Canada',' <=50K'
49,' Private',' pre-HS',' Married',' White',' Male',' US and Canada',' <=50K'
22,' Private',' College',' Never-married',' White',' Male',' US and Canada',' <=50K'
25,' Private',' College',' Married',' White',' Male',' US and Canada',' >50K'
78,' Private',' pre-HS',' Never-married',' White',' Female',' Latin / South America',' <=50K'
23,' Private',' pre-HS',' Never-married',' White',' Female',' US and Canada',' <=50K'
38,' Private',' College',' Seperated or Widowed',' White',' Female',' US and Canada',' <=50K'
32,' Private',' College',' Married',' White',' Male',' US and Canada',' <=50K'
65,' Private',' College',' Seperated or Widowed',' White',' Male',' US and Canada',' <=50K'
19,' ?',' College',' Never-married',' White',' Female',' US and Canada',' <=50K'
21,' Private',' College',' Never-married',' White',' Male',' US and Canada',' <=50K'
52,' Private',' pre-HS',' Married',' White',' Male',' US and Canada',' <=50K'
51,' Private',' pre-HS',' Seperated or Widowed',' White',' Male',' US and Canada',' <=50K'
64,' Private',' College',' Seperated or Widowed',' White',' Female',' US and Canada',' <=50K'
46,' Private',' Higher Education',' Married',' White',' Male',' US and Canada',' <=50K'
36,' Government',' College',' Seperated or Widowed',' Black',' Male',' US and Canada',' <=50K'
20,' Private',' College',' Never-married',' White',' Male',' US and Canada',' <=50K'
43,' Private',' College',' Never-married',' Black',' Male',' US and Canada',' <=50K'
46,' No Income',' College',' Married',' White',' Male',' US and Canada',' <=50K'
25,' ?',' pre-HS',' Never-married',' White',' Female',' US and Canada',' <=50K'
26,' Private',' College',' Married',' White',' Male',' US and Canada',' <=50K'
37,' Private',' College',' Married',' White',' Male',' US and Canada',' >50K'
27,' Private',' College',' Married',' White',' Male',' US and Canada',' <=50K'
46,' Private',' College',' Married',' Black',' Male',' US and Canada',' <=50K'
35,' Private',' College',' Married',' White',' Female',' US and Canada',' >50K'
30,' Private',' College',' Married',' White',' Male',' US and Canada',' <=50K'
64,' No Income',' College',' Married',' White',' Male',' US and Canada',' <=50K'
28,' Private',' College',' Married',' White',' Male',' US and Canada',' <=50K'
42,' Government',' Higher Education',' Seperated or Widowed',' White',' Female',' US and Canada',' <=50K'
44,' Private',' College',' Married',' White',' Male',' US and Canada',' <=50K'
34,' Private',' College',' Married',' White',' Male',' US and Canada',' >50K'
56,' Private',' College',' Seperated or Widowed',' White',' Male',' US and Canada',' <=50K'
42,' Private',' College',' Married',' White',' Male',' US and Canada',' >50K'
26,' Private',' College',' Married',' White',' Male',' US and Canada',' <=50K'
26,' Government',' College',' Never-married',' White',' Male',' US and Canada',' <=50K'
36,' Private',' College',' Married',' White',' Male',' US and Canada',' <=50K'
32,' Private',' College',' Seperated or Widowed',' White',' Female',' US and Canada',' <=50K'
26,' Government',' College',' Married',' White',' Female',' US and Canada',' >50K'
37,' Government',' College',' Seperated or Widowed',' White',' Male',' Europe',' <=50K'
23,' Private',' College',' Never-married',' White',' Male',' US and Canada',' <=50K'
23,' Private',' College',' Never-married',' Black',' Female',' US and Canada',' <=50K'
33,' Private',' College',' Married',' White',' Male',' US and Canada',' >50K'
43,' Private',' College',' Married',' White',' Male',' US and Canada',' >50K'
25,' Private',' College',' Never-married',' White',' Male',' ?',' <=50K'
32,' Private',' College',' Seperated or Widowed',' Asian-Pac-Islander',' Female',' US and Canada',' <=50K'
52,' Private',' College',' Seperated or Widowed',' White',' Female',' US and Canada',' <=50K'
17,' Private',' pre-HS',' Never-married',' White',' Male',' US and Canada',' <=50K'
35,' Private',' College',' Seperated or Widowed',' Black',' Male',' US and Canada',' <=50K'
33,' Private',' pre-HS',' Never-married',' White',' Female',' US and Canada',' <=50K'
26,' Private',' College',' Seperated or Widowed',' White',' Female',' US and Canada',' <=50K'
61,' Government',' Higher Education',' Married',' White',' Male',' US and Canada',' >50K'
30,' Private',' College',' Seperated or Widowed',' White',' Male',' US and Canada',' <=50K'
24,' Private',' College',' Never-married',' White',' Female',' US and Canada',' <=50K'
19,' Private',' College',' Never-married',' White',' Female',' US and Canada',' <=50K'
21,' Private',' College',' Never-married',' White',' Male',' US and Canada',' <=50K'
19,' ?',' College',' Never-married',' White',' Male',' US and Canada',' <=50K'
33,' Private',' College',' Married',' White',' Male',' US and Canada',' <=50K'
20,' ?',' College',' Never-married',' White',' Male',' US and Canada',' <=50K'
43,' No Income',' College',' Seperated or Widowed',' White',' Male',' US and Canada',' <=50K'
39,' Private',' College',' Married',' White',' Male',' US and Canada',' <=50K'
42,' Private',' College',' Married',' White',' Male',' US and Canada',' >50K'
32,' Private',' College',' Never-married',' Black',' Male',' US and Canada',' <=50K'
39,' Private',' College',' Married',' White',' Male',' US and Canada',' >50K'
17,' Private',' pre-HS',' Never-married',' Black',' Male',' US and Canada',' <=50K'
51,' No Income',' College',' Married',' White',' Female',' US and Canada',' >50K'
51,' Private',' College',' Married',' White',' Female',' US and Canada',' >50K'
41,' Private',' College',' Married',' White',' Male',' US and Canada',' <=50K'
33,' Private',' College',' Seperated or Widowed',' White',' Male',' US and Canada',' <=50K'
38,' Private',' College',' Married',' White',' Female',' US and Canada',' <=50K'
39,' Private',' pre-HS',' Never-married',' White',' Male',' US and Canada',' <=50K'
23,' Private',' College',' Never-married',' White',' Female',' US and Canada',' <=50K'
51,' No Income',' College',' Married',' White',' Male',' US and Canada',' <=50K'
35,' ?',' College',' Never-married',' White',' Male',' US and Canada',' <=50K'
59,' Private',' Higher Education',' Never-married',' White',' Male',' US and Canada',' <=50K'
36,' Government',' Higher Education',' Never-married',' White',' Female',' US and Canada',' <=50K'
44,' Private',' College',' Married',' White',' Male',' ?',' >50K'
26,' Private',' College',' Seperated or Widowed',' White',' Female',' US and Canada',' <=50K'
68,' Private',' College',' Married',' White',' Male',' US and Canada',' <=50K'
41,' Private',' College',' Never-married',' White',' Female',' Latin / South America',' <=50K'
33,' Private',' College',' Married',' White',' Male',' US and Canada',' >50K'
48,' Private',' College',' Seperated or Widowed',' White',' Female',' US and Canada',' <=50K'
30,' Private',' College',' Married',' White',' Male',' US and Canada',' <=50K'
62,' No Income',' College',' Married',' White',' Male',' US and Canada',' <=50K'
21,' Private',' College',' Never-married',' White',' Female',' US and Canada',' <=50K'
41,' Private',' College',' Never-married',' White',' Female',' US and Canada',' <=50K'
43,' Private',' College',' Seperated or Widowed',' White',' Female',' US and Canada',' <=50K'
44,' Private',' College',' Married',' White',' Male',' US and Canada',' >50K'
22,' Private',' College',' Never-married',' White',' Male',' US and Canada',' <=50K'
46,' Private',' College',' Married',' White',' Male',' US and Canada',' >50K'
28,' ?',' College',' Never-married',' White',' Male',' US and Canada',' <=50K'
27,' Private',' pre-HS',' Married',' White',' Male',' US and Canada',' <=50K'
38,' Government',' Higher Education',' Married',' White',' Male',' US and Canada',' >50K'
28,' Private',' College',' Never-married',' White',' Male',' US and Canada',' >50K'
23,' Private',' College',' Never-married',' White',' Female',' US and Canada',' <=50K'
49,' Government',' College',' Seperated or Widowed',' Black',' Male',' US and Canada',' <=50K'
22,' Private',' College',' Never-married',' Black',' Male',' US and Canada',' <=50K'
81,' Private',' Higher Education',' Seperated or Widowed',' White',' Male',' ?',' <=50K'
26,' Private',' College',' Married',' Asian-Pac-Islander',' Female',' ?',' <=50K'
35,' Private',' pre-HS',' Seperated or Widowed',' White',' Male',' US and Canada',' <=50K'
70,' Private',' College',' Married',' White',' Male',' Latin / South America',' <=50K'
17,' Private',' pre-HS',' Never-married',' White',' Male',' US and Canada',' <=50K'
23,' ?',' College',' Never-married',' White',' Male',' US and Canada',' <=50K'
42,' Private',' College',' Married',' White',' Male',' US and Canada',' >50K'
42,' Private',' College',' Married',' White',' Male',' US and Canada',' >50K'
27,' Private',' Higher Education',' Never-married',' White',' Male',' US and Canada',' <=50K'
23,' Private',' College',' Seperated or Widowed',' White',' Female',' US and Canada',' <=50K'
48,' Government',' College',' Married',' White',' Female',' US and Canada',' >50K'
50,' Private',' pre-HS',' Married',' Asian-Pac-Islander',' Male',' Asia',' >50K'
58,' No Income',' College',' Married',' White',' Male',' US and Canada',' >50K'
33,' Private',' College',' Never-married',' White',' Male',' US and Canada',' <=50K'
21,' Private',' College',' Never-married',' White',' Male',' US and Canada',' <=50K'
39,' Private',' College',' Married',' White',' Male',' US and Canada',' <=50K'
20,' Private',' College',' Married',' White',' Female',' Latin / South America',' <=50K'
35,' Private',' pre-HS',' Never-married',' Black',' Female',' US and Canada',' <=50K'
54,' No Income',' College',' Married',' White',' Female',' US and Canada',' >50K'
46,' Private',' pre-HS',' Married',' White',' Female',' Latin / South America',' <=50K'
60,' No Income',' College',' Married',' White',' Female',' US and Canada',' <=50K'
39,' Private',' pre-HS',' Never-married',' White',' Male',' Latin / South America',' <=50K'
43,' Private',' College',' Never-married',' White',' Male',' US and Canada',' <=50K'
35,' Private',' College',' Married',' White',' Male',' US and Canada',' <=50K'
38,' Private',' College',' Married',' White',' Male',' US and Canada',' >50K'
68,' ?',' College',' Married',' White',' Male',' US and Canada',' >50K'
31,' Private',' College',' Married',' Asian-Pac-Islander',' Male',' Asia',' <=50K'
75,' No Income',' College',' Seperated or Widowed',' White',' Male',' US and Canada',' <=50K'
25,' Private',' College',' Never-married',' White',' Male',' US and Canada',' <=50K'
28,' Private',' College',' Married',' White',' Male',' US and Canada',' <=50K'
45,' Private',' College',' Married',' White',' Male',' US and Canada',' >50K'
41,' Private',' College',' Married',' White',' Male',' US and Canada',' >50K'
34,' Private',' College',' Married',' White',' Male',' US and Canada',' >50K'
35,' Private',' Higher Education',' Married',' White',' Male',' US and Canada',' >50K'
20,' Private',' College',' Never-married',' White',' Male',' US and Canada',' <=50K'
41,' Private',' College',' Married',' White',' Male',' US and Canada',' >50K'
59,' Private',' College',' Never-married',' Black',' Male',' US and Canada',' <=50K'
33,' No Income',' College',' Married',' White',' Male',' US and Canada',' <=50K'
38,' Private',' College',' Never-married',' White',' Female',' US and Canada',' <=50K'
53,' Private',' College',' Seperated or Widowed',' Black',' Male',' US and Canada',' <=50K'
32,' Private',' pre-HS',' Never-married',' White',' Female',' Latin / South America',' <=50K'
36,' Private',' College',' Married',' White',' Male',' US and Canada',' >50K'
43,' Private',' College',' Never-married',' White',' Male',' US and Canada',' >50K'
56,' Private',' College',' Married',' White',' Male',' US and Canada',' <=50K'
32,' No Income',' College',' Seperated or Widowed',' White',' Male',' US and Canada',' <=50K'
29,' Private',' College',' Never-married',' White',' Male',' US and Canada',' <=50K'
47,' Government',' Higher Education',' Married',' White',' Male',' US and Canada',' >50K'
38,' Private',' College',' Married',' White',' Male',' US and Canada',' <=50K'
47,' Private',' Higher Education',' Seperated or Widowed',' White',' Female',' US and Canada',' >50K'
58,' Private',' pre-HS',' Seperated or Widowed',' Black',' Male',' US and Canada',' <=50K'
58,' Private',' College',' Married',' White',' Male',' US and Canada',' <=50K'
58,' Private',' College',' Married',' White',' Male',' US and Canada',' <=50K'
28,' Private',' College',' Seperated or Widowed',' White',' Male',' US and Canada',' <=50K'
19,' Private',' College',' Never-married',' White',' Female',' US and Canada',' <=50K'
46,' Private',' College',' Married',' White',' Male',' US and Canada',' >50K'
45,' Private',' College',' Married',' White',' Male',' US and Canada',' >50K'
37,' Private',' College',' Married',' White',' Male',' US and Canada',' <=50K'
19,' Private',' pre-HS',' Never-married',' White',' Female',' US and Canada',' <=50K'
49,' Private',' College',' Married',' Black',' Male',' US and Canada',' <=50K'
28,' Private',' College',' Married',' White',' Male',' US and Canada',' >50K'
29,' Private',' College',' Never-married',' White',' Female',' US and Canada',' <=50K'
52,' Private',' College',' Married',' White',' Male',' US and Canada',' >50K'
36,' Government',' College',' Seperated or Widowed',' White',' Female',' US and Canada',' <=50K'
19,' Private',' College',' Never-married',' White',' Female',' US and Canada',' <=50K'
18,' ?',' pre-HS',' Never-married',' White',' Male',' US and Canada',' <=50K'
65,' No Income',' Higher Education',' Never-married',' White',' Male',' US and Canada',' <=50K'
39,' Private',' College',' Never-married',' White',' Male',' US and Canada',' >50K'
32,' Private',' College',' Never-married',' Black',' Female',' US and Canada',' <=50K'
31,' Private',' College',' Never-married',' White',' Female',' US and Canada',' >50K'
31,' Private',' College',' Married',' White',' Male',' US and Canada',' >50K'
43,' Private',' College',' Married',' Black',' Female',' US and Canada',' >50K'
47,' ?',' College',' Married',' White',' Male',' US and Canada',' >50K'
33,' Government',' College',' Seperated or Widowed',' White',' Female',' US and Canada',' <=50K'
22,' Private',' College',' Never-married',' White',' Female',' Latin / South America',' <=50K'
39,' Private',' College',' Married',' White',' Male',' US and Canada',' <=50K'
20,' ?',' College',' Never-married',' Other',' Female',' US and Canada',' <=50K'
20,' Private',' College',' Never-married',' White',' Female',' US and Canada',' <=50K'
22,' Private',' College',' Never-married',' White',' Female',' US and Canada',' <=50K'
61,' Private',' College',' Married',' White',' Male',' US and Canada',' <=50K'
37,' Private',' pre-HS',' Married',' White',' Male',' US and Canada',' >50K'
31,' Private',' pre-HS',' Seperated or Widowed',' White',' Female',' US and Canada',' <=50K'
24,' Private',' College',' Never-married',' White',' Male',' US and Canada',' <=50K'
47,' Private',' College',' Married',' White',' Male',' US and Canada',' >50K'
31,' Private',' College',' Seperated or Widowed',' White',' Male',' US and Canada',' >50K'
17,' Private',' pre-HS',' Never-married',' White',' Male',' US and Canada',' <=50K'
42,' Private',' College',' Married',' White',' Male',' US and Canada',' >50K'
31,' Private',' College',' Married',' White',' Male',' Europe',' >50K'
47,' Private',' Higher Education',' Married',' White',' Female',' Latin / South America',' >50K'
48,' Private',' College',' Married',' White',' Male',' US and Canada',' <=50K'
47,' Government',' College',' Seperated or Widowed',' Black',' Female',' US and Canada',' <=50K'
74,' No Income',' Higher Education',' Seperated or Widowed',' White',' Male',' US and Canada',' <=50K'
24,' Private',' College',' Never-married',' White',' Male',' US and Canada',' <=50K'
51,' Private',' College',' Seperated or Widowed',' White',' Female',' US and Canada',' <=50K'
39,' Private',' College',' Married',' White',' Male',' US and Canada',' <=50K'
34,' Private',' College',' Seperated or Widowed',' White',' Female',' US and Canada',' <=50K'
27,' Private',' pre-HS',' Seperated or Widowed',' White',' Male',' Latin / South America',' <=50K'
42,' Government',' College',' Seperated or Widowed',' Black',' Female',' US and Canada',' <=50K'
41,' Private',' College',' Married',' White',' Male',' US and Canada',' <=50K'
80,' Private',' Higher Education',' Seperated or Widowed',' White',' Female',' US and Canada',' <=50K'
47,' Government',' College',' Married',' White',' Female',' US and Canada',' >50K'
51,' No Income',' College',' Married',' White',' Male',' US and Canada',' >50K'
17,' Private',' pre-HS',' Never-married',' Black',' Female',' US and Canada',' <=50K'
42,' Government',' Higher Education',' Married',' White',' Male',' US and Canada',' <=50K'
60,' Private',' College',' Married',' White',' Male',' US and Canada',' >50K'
60,' Private',' College',' Seperated or Widowed',' White',' Male',' US and Canada',' <=50K'
41,' Private',' College',' Married',' White',' Female',' US and Canada',' <=50K'
41,' Private',' College',' Seperated or Widowed',' White',' Male',' US and Canada',' <=50K'
50,' Private',' College',' Married',' White',' Male',' US and Canada',' >50K'
49,' Private',' Higher Education',' Married',' Asian-Pac-Islander',' Male',' Asia',' <=50K'
47,' No Income',' College',' Seperated or Widowed',' White',' Female',' US and Canada',' <=50K'
37,' Government',' College',' Married',' White',' Male',' US and Canada',' <=50K'
27,' Private',' pre-HS',' Never-married',' White',' Male',' Latin / South America',' <=50K'
64,' No Income',' College',' Married',' White',' Male',' US and Canada',' >50K'
34,' Private',' College',' Married',' White',' Male',' Europe',' <=50K'
55,' Private',' College',' Married',' White',' Male',' US and Canada',' <=50K'
29,' Private',' College',' Married',' White',' Female',' US and Canada',' <=50K'
63,' No Income',' College',' Never-married',' White',' Male',' US and Canada',' <=50K'
53,' Private',' pre-HS',' Married',' White',' Male',' US and Canada',' <=50K'
84,' Private',' Higher Education',' Never-married',' White',' Male',' US and Canada',' <=50K'
41,' Private',' College',' Married',' White',' Female',' Latin / South America',' >50K'
23,' Private',' College',' Never-married',' Black',' Female',' US and Canada',' <=50K'
23,' Private',' College',' Married',' White',' Female',' US and Canada',' <=50K'
36,' No Income',' College',' Never-married',' White',' Male',' Latin / South America',' <=50K'
40,' Private',' College',' Married',' White',' Male',' US and Canada',' <=50K'
23,' Private',' College',' Never-married',' White',' Male',' US and Canada',' <=50K'
28,' Private',' College',' Never-married',' White',' Female',' US and Canada',' <=50K'
67,' ?',' pre-HS',' Married',' White',' Male',' US and Canada',' <=50K'
28,' Private',' College',' Seperated or Widowed',' White',' Male',' US and Canada',' <=50K'
27,' Private',' College',' Married',' White',' Female',' US and Canada',' <=50K'
44,' Government',' College',' Married',' Asian-Pac-Islander',' Male',' Asia',' >50K'
40,' Private',' Higher Education',' Married',' White',' Male',' US and Canada',' >50K'
49,' Private',' Higher Education',' Married',' White',' Male',' US and Canada',' >50K'
22,' Private',' pre-HS',' Never-married',' White',' Male',' Latin / South America',' <=50K'
37,' Private',' College',' Married',' White',' Male',' US and Canada',' >50K'
55,' Private',' College',' Seperated or Widowed',' Asian-Pac-Islander',' Male',' US and Canada',' <=50K'
40,' Government',' College',' Never-married',' Black',' Female',' US and Canada',' <=50K'
24,' Private',' College',' Married',' White',' Female',' US and Canada',' <=50K'
44,' Private',' College',' Never-married',' Black',' Male',' US and Canada',' <=50K'
40,' Private',' College',' Married',' White',' Male',' US and Canada',' >50K'
25,' Private',' College',' Married',' White',' Male',' US and Canada',' <=50K'
34,' Private',' pre-HS',' Married',' White',' Female',' US and Canada',' <=50K'
33,' Private',' Higher Education',' Married',' White',' Male',' US and Canada',' >50K'
33,' Private',' College',' Married',' White',' Male',' US and Canada',' >50K'
19,' Private',' College',' Never-married',' White',' Male',' US and Canada',' <=50K'
25,' Private',' College',' Never-married',' Black',' Female',' US and Canada',' <=50K'
41,' Private',' Higher Education',' Seperated or Widowed',' White',' Female',' US and Canada',' <=50K'
44,' Private',' pre-HS',' Seperated or Widowed',' Other',' Female',' US and Canada',' <=50K'
37,' Private',' College',' Married',' White',' Male',' US and Canada',' <=50K'
19,' Private',' pre-HS',' Never-married',' White',' Male',' Latin / South America',' <=50K'
42,' Government',' College',' Married',' White',' Male',' US and Canada',' >50K'
41,' Private',' pre-HS',' Married',' White',' Female',' Latin / South America',' <=50K'
31,' Private',' College',' Married',' White',' Female',' US and Canada',' >50K'
34,' Private',' College',' Married',' White',' Female',' US and Canada',' <=50K'
43,' Private',' Higher Education',' Married',' White',' Male',' US and Canada',' >50K'
40,' Government',' College',' Married',' White',' Male',' US and Canada',' <=50K'
23,' Government',' College',' Never-married',' White',' Female',' US and Canada',' <=50K'
34,' Government',' College',' Married',' White',' Male',' US and Canada',' <=50K'
37,' Private',' College',' Married',' White',' Male',' US and Canada',' <=50K'
42,' Private',' College',' Seperated or Widowed',' White',' Male',' ?',' <=50K'
20,' Private',' College',' Never-married',' White',' Male',' US and Canada',' <=50K'
61,' Private',' College',' Seperated or Widowed',' White',' Male',' US and Canada',' >50K'
33,' Government',' College',' Married',' White',' Male',' US and Canada',' <=50K'
21,' Government',' College',' Never-married',' White',' Male',' US and Canada',' <=50K'
35,' Private',' College',' Never-married',' White',' Male',' US and Canada',' <=50K'
46,' Government',' Higher Education',' Married',' Asian-Pac-Islander',' Male',' Asia',' >50K'
37,' Government',' College',' Seperated or Widowed',' White',' Female',' US and Canada',' <=50K'
28,' Private',' pre-HS',' Married',' White',' Male',' Latin / South America',' <=50K'
53,' Private',' pre-HS',' Married',' White',' Female',' Europe',' <=50K'
54,' Government',' Higher Education',' Seperated or Widowed',' White',' Female',' US and Canada',' <=50K'
38,' Private',' College',' Seperated or Widowed',' White',' Female',' US and Canada',' <=50K'
23,' Private',' College',' Never-married',' Asian-Pac-Islander',' Female',' US and Canada',' <=50K'
18,' Private',' College',' Never-married',' White',' Male',' US and Canada',' <=50K'
22,' Private',' College',' Never-married',' White',' Male',' US and Canada',' <=50K'
33,' Private',' College',' Married',' White',' Male',' US and Canada',' >50K'
40,' Private',' College',' Seperated or Widowed',' White',' Male',' Latin / South America',' >50K'
29,' Private',' College',' Never-married',' White',' Female',' US and Canada',' <=50K'
17,' Private',' pre-HS',' Never-married',' White',' Female',' US and Canada',' <=50K'
26,' Private',' College',' Never-married',' White',' Female',' US and Canada',' <=50K'
26,' Government',' College',' Seperated or Widowed',' White',' Male',' US and Canada',' <=50K'
45,' Private',' College',' Married',' White',' Male',' US and Canada',' >50K'
18,' Private',' pre-HS',' Never-married',' White',' Male',' US and Canada',' <=50K'
23,' Private',' College',' Never-married',' Asian-Pac-Islander',' Male',' Europe',' <=50K'
35,' Private',' College',' Never-married',' White',' Male',' US and Canada',' <=50K'
33,' Private',' Higher Education',' Never-married',' White',' Female',' ?',' <=50K'
45,' No Income',' College',' Married',' White',' Male',' US and Canada',' >50K'
26,' Private',' College',' Never-married',' White',' Female',' US and Canada',' <=50K'
33,' Private',' pre-HS',' Married',' White',' Male',' US and Canada',' <=50K'
25,' Private',' College',' Never-married',' White',' Female',' US and Canada',' <=50K'
41,' Private',' pre-HS',' Married',' White',' Male',' Latin / South America',' <=50K'
26,' Private',' College',' Never-married',' White',' Male',' US and Canada',' <=50K'
47,' Private',' College',' Married',' White',' Male',' US and Canada',' >50K'
30,' Private',' College',' Married',' White',' Male',' US and Canada',' >50K'
49,' Private',' College',' Never-married',' White',' Female',' US and Canada',' <=50K'
30,' ?',' College',' Never-married',' White',' Male',' US and Canada',' <=50K'
38,' Private',' College',' Seperated or Widowed',' White',' Female',' US and Canada',' <=50K'
60,' ?',' College',' Married',' White',' Male',' US and Canada',' >50K'
28,' Private',' College',' Married',' Asian-Pac-Islander',' Male',' Asia',' <=50K'
37,' Private',' College',' Married',' White',' Male',' US and Canada',' >50K'
22,' Private',' College',' Never-married',' White',' Female',' US and Canada',' <=50K'
37,' Private',' College',' Married',' White',' Female',' US and Canada',' >50K'
31,' Private',' College',' Seperated or Widowed',' Black',' Female',' Asia',' <=50K'
22,' Private',' pre-HS',' Never-married',' Asian-Pac-Islander',' Male',' Asia',' <=50K'
52,' No Income',' College',' Married',' Asian-Pac-Islander',' Male',' US and Canada',' <=50K'
24,' Private',' College',' Never-married',' White',' Male',' US and Canada',' <=50K'
21,' Private',' College',' Never-married',' White',' Male',' US and Canada',' <=50K'
25,' Private',' College',' Never-married',' White',' Male',' US and Canada',' <=50K'
26,' Private',' College',' Married',' White',' Male',' US and Canada',' <=50K'
39,' Private',' Higher Education',' Married',' White',' Female',' US and Canada',' >50K'
29,' Private',' College',' Married',' White',' Male',' US and Canada',' >50K'
43,' No Income',' College',' Married',' White',' Male',' US and Canada',' <=50K'
22,' Private',' College',' Never-married',' Asian-Pac-Islander',' Female',' Asia',' <=50K'
17,' ?',' pre-HS',' Never-married',' White',' Male',' US and Canada',' <=50K'
43,' No Income',' pre-HS',' Married',' White',' Male',' US and Canada',' <=50K'
48,' Private',' College',' Never-married',' White',' Male',' US and Canada',' <=50K'
39,' Government',' College',' Seperated or Widowed',' Asian-Pac-Islander',' Female',' Asia',' <=50K'
19,' ?',' pre-HS',' Never-married',' Black',' Male',' US and Canada',' <=50K'
32,' Private',' College',' Married',' White',' Male',' US and Canada',' >50K'
17,' Private',' pre-HS',' Never-married',' White',' Male',' US and Canada',' <=50K'
40,' No Income',' College',' Married',' White',' Male',' US and Canada',' <=50K'
50,' Private',' College',' Seperated or Widowed',' Asian-Pac-Islander',' Male',' Asia',' <=50K'
42,' Private',' College',' Seperated or Widowed',' White',' Female',' US and Canada',' <=50K'
48,' No Income',' College',' Married',' White',' Male',' US and Canada',' <=50K'
52,' Private',' College',' Seperated or Widowed',' White',' Female',' US and Canada',' >50K'
58,' Government',' College',' Seperated or Widowed',' Black',' Male',' US and Canada',' <=50K'
24,' Private',' College',' Never-married',' White',' Female',' US and Canada',' <=50K'
